Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
43,IN-2016-101343,7/17/2016,7/22/2016,Standard Class,RA-19885,Rohit Nair,Corporate,India,Surat,Gujarat,858466,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",6502.98,2,0.0,325.15
44,IN-2017-139619,9/19/2017,9/23/2017,Standard Class,ES-14080,Shreya Kapoor,Corporate,India,Bengaluru,Karnataka,143768,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",7983.94,2,0.2,798.39
45,IN-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,Riya Srivastava,Corporate,India,Delhi,Delhi,209116,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",3839.33,2,0.0,1650.91
46,IN-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,Riya Srivastava,Corporate,India,Bhopal,Madhya Pradesh,137329,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,1457.91,2,0.0,685.22
47,IN-2014-146703,10/20/2014,10/25/2014,Second Class,PO-18865,Isha Desai,Consumer,India,Indore,Madhya Pradesh,620719,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",17698.66,4,0.0,707.95
48,IN-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Aditi Gupta,Consumer,India,Bhubaneswar,Odisha,632261,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,3757.5,3,0.0,413.32
49,IN-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Aditi Gupta,Consumer,India,Guwahati,Assam,336186,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",1820.3,2,0.0,509.68
50,IN-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Arjun Malhotra,Consumer,India,Lucknow,Uttar Pradesh,781927,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",3191.37,6,0.0,1499.94
51,IN-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Arjun Malhotra,Consumer,India,Kanpur,Uttar Pradesh,467271,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,6277.53,6,0.0,2950.44
52,IN-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Arjun Malhotra,Consumer,India,Indore,Madhya Pradesh,552476,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,514.36,2,0.0,246.89
53,IN-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Arjun Malhotra,Consumer,India,Varanasi,Uttar Pradesh,600792,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",7514.16,1,0.0,1427.69
54,IN-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,Karan Agarwal,Corporate,India,Cuttack,Odisha,418157,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,1274.21,7,0.0,522.43
55,IN-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,Karan Agarwal,Corporate,India,Patna,Bihar,919506,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,86000.82,5,0.0,24940.24
56,IN-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Karan Mehta,Consumer,India,Cuttack,Odisha,991115,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,17414.76,6,0.0,4353.69
57,IN-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Karan Mehta,Consumer,India,Cuttack,Odisha,338818,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,2705.4,5,0.0,1298.59
58,IN-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Karan Mehta,Consumer,India,Guwahati,Assam,122484,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,26670.74,5,0.1,592.68
59,IN-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Karan Mehta,Consumer,India,Ranchi,Jharkhand,158045,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",1215.76,2,0.0,583.56
60,IN-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Karan Mehta,Consumer,India,Bhubaneswar,Odisha,127633,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,2505.0,2,0.0,275.55
61,IN-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Karan Mehta,Consumer,India,Patna,Bihar,911192,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,4048.08,4,0.2,1366.23
62,IN-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Karan Mehta,Consumer,India,Guwahati,Assam,919800,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,140.28,1,0.0,70.14
63,IN-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Ananya Khan,Consumer,India,Ahmedabad,Gujarat,950775,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",1167.33,2,0.0,513.63
64,IN-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Ananya Khan,Consumer,India,Rajkot,Gujarat,305703,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",2156.3,6,0.2,781.66
65,IN-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Ananya Khan,Consumer,India,Nashik,Maharashtra,660134,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,12251.96,3,0.0,5758.42
66,IN-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Ananya Khan,Consumer,India,Vadodara,Gujarat,737679,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,6659.96,4,0.0,1864.79
67,IN-2015-164175,4/30/2015,5/5/2015,Standard Class,PS-18970,Gaurav Joshi,Home Office,India,Bhopal,Madhya Pradesh,497817,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",17795.1,5,0.3,-1271.08
68,IN-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,Farhan Das,Corporate,India,Nagpur,Maharashtra,815067,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",92937.5,8,0.2,9293.75
69,IN-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,Farhan Das,Corporate,India,Mumbai,Maharashtra,816801,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,14025.33,4,0.2,5259.5
70,IN-2016-119823,6/4/2016,6/6/2016,First Class,KD-16270,Sunita Ghosh,Consumer,India,Coimbatore,Tamil Nadu,873768,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",6335.98,2,0.0,2977.91
71,IN-2016-106075,9/18/2016,9/23/2016,Standard Class,HM-14980,Bhavna Mehta,Consumer,India,Kolkata,West Bengal,118973,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,385.44,1,0.2,144.54
72,IN-2017-114440,9/14/2017,9/17/2017,Second Class,TB-21520,Divya Ghosh,Consumer,India,Agra,Uttar Pradesh,679334,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",1590.68,3,0.0,731.71
73,IN-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Rahul Banerjee,Consumer,India,Mysuru,Karnataka,605595,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,69466.66,8,0.2,-9551.67
74,IN-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Rahul Banerjee,Consumer,India,Kochi,Kerala,154673,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",8102.84,2,0.2,101.29
75,IN-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Rahul Banerjee,Consumer,India,Bengaluru,Karnataka,505929,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,6077.46,1,0.2,-1519.37
76,IN-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,Kavya Pillai,Corporate,India,Bhopal,Madhya Pradesh,902875,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,104.21,3,0.8,-161.52
77,IN-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,Kavya Pillai,Corporate,India,Agra,Uttar Pradesh,495552,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",810.62,3,0.6,-486.37
78,IN-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,Kavya Pillai,Corporate,India,Bhopal,Madhya Pradesh,829222,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",2274.54,3,0.2,227.45
79,IN-2014-147606,11/26/2014,12/1/2014,Second Class,JE-15745,Rahul Banerjee,Consumer,India,Varanasi,Uttar Pradesh,231320,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",1611.55,5,0.6,-1208.66
80,IN-2016-127208,6/12/2016,6/15/2016,First Class,SC-20770,Farhan Banerjee,Corporate,India,Mysuru,Karnataka,550592,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",17381.36,1,0.0,4692.97
81,IN-2016-127208,6/12/2016,6/15/2016,First Class,SC-20770,Farhan Banerjee,Corporate,India,Madurai,Tamil Nadu,835405,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,1397.79,3,0.0,670.94
82,IN-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,Vivek Singh,Consumer,India,Ahmedabad,Gujarat,547567,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",1244.15,5,0.0,348.36
83,IN-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,Vivek Singh,Consumer,India,Vadodara,Gujarat,676239,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",1786.06,1,0.0,517.96
84,IN-2015-149734,9/3/2015,9/8/2015,Standard Class,JC-16105,Deepa Khan,Corporate,India,Hyderabad,Telangana,244462,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,16782.16,7,0.2,5244.43
85,IN-2017-119662,11/13/2017,11/16/2017,First Class,CS-12400,Vikram Yadav,Home Office,India,Bhopal,Madhya Pradesh,221197,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,19236.4,3,0.2,-4087.73
86,IN-2017-140088,5/28/2017,5/30/2017,Second Class,PO-18865,Isha Desai,Consumer,India,Kochi,Kerala,559226,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,25213.66,2,0.0,2773.5
87,IN-2017-155558,10/26/2017,11/2/2017,Standard Class,PG-18895,Dhruv Agarwal,Consumer,India,Kanpur,Uttar Pradesh,223724,Central,TEC-AC-10001998,Technology,Accessories,boAt LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,1669.16,1,0.0,567.52
88,IN-2017-155558,10/26/2017,11/2/2017,Standard Class,PG-18895,Dhruv Agarwal,Consumer,India,Kanpur,Uttar Pradesh,745559,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,514.36,2,0.0,246.89
89,IN-2016-159695,4/5/2016,4/10/2016,Second Class,GM-14455,Varun Ghosh,Home Office,India,Agra,Uttar Pradesh,485570,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,13223.73,7,0.2,1157.08
90,IN-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Isha Chaudhary,Corporate,India,Surat,Gujarat,468877,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,1678.35,3,0.0,553.86
91,IN-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Isha Chaudhary,Corporate,India,Ahmedabad,Gujarat,303052,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,6144.26,2,0.2,691.23
92,IN-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Isha Chaudhary,Corporate,India,Rajkot,Gujarat,459793,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,541.08,1,0.0,259.72
93,IN-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,Raj Mishra,Consumer,India,Lucknow,Uttar Pradesh,557729,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,1082.16,2,0.0,519.44
94,IN-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,Raj Mishra,Consumer,India,Delhi,Delhi,160736,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",4453.89,3,0.0,1380.71
95,IN-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,Raj Mishra,Consumer,India,Lucknow,Uttar Pradesh,349739,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,2752.16,2,0.0,1348.56
96,IN-2017-109484,11/6/2017,11/12/2017,Standard Class,RB-19705,Divya Jain,Home Office,India,Ahmedabad,Gujarat,343304,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,474.45,1,0.7,-316.3
97,IN-2017-161018,11/9/2017,11/11/2017,Second Class,PN-18775,Rohit Gupta,Home Office,India,Patna,Bihar,196459,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,8060.26,7,0.0,3385.31
98,IN-2017-157833,6/17/2017,6/20/2017,First Class,KD-16345,Kavya Verma,Consumer,India,Nashik,Maharashtra,717210,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,4284.55,3,0.2,1499.59
99,IN-2016-149223,9/6/2016,9/11/2016,Standard Class,ER-13855,Aarav Ghosh,Corporate,India,Lucknow,Uttar Pradesh,110537,Central,OFF-AP-10000358,Office Supplies,Appliances,Wipro Basic Home/Office Series Surge Protectors,6502.98,6,0.0,1885.86
100,IN-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,Raj Banerjee,Home Office,India,Kanpur,Uttar Pradesh,338158,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,5396.1,7,0.2,1888.64
101,IN-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,Raj Banerjee,Home Office,India,Kanpur,Uttar Pradesh,533130,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,8014.0,3,0.2,-901.57
102,IN-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,Raj Banerjee,Home Office,India,Varanasi,Uttar Pradesh,883785,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,149.3,3,0.8,-253.81
103,IN-2016-129903,12/1/2016,12/4/2016,Second Class,GZ-14470,Pooja Banerjee,Consumer,India,Indore,Madhya Pradesh,889125,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),1997.32,4,0.0,978.69
104,IN-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Gaurav Agarwal,Consumer,India,Mumbai,Maharashtra,946971,West,TEC-AC-10001552,Technology,Accessories,boAt K350 2.4Ghz Wireless Keyboard,19947.82,6,0.2,-2244.13
105,IN-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Gaurav Agarwal,Consumer,India,Pune,Maharashtra,931710,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",8547.06,3,0.2,-320.51
